location,address,price,title,facilities,description_text,ad_url,id,num,fellesgjeld,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,etasje,byggear,energimerking,tomt,bruttoareal,boligselgerforsikring,formuesverdi,rom,tomteareal,fellesformue,festeavgift,kommunale_avg,renovert_ar,sikringsordning,grunnflate,solgtpris,utleiedel,new_building
MARIENLYST/MAJORSTUEN,"Kirkeveien 102 D, 0362 Oslo",7300000,Lekker toppleilighet med privat takterrasse på 57 kvm - Panoramautsikt - Solfylt - Heis - Standard 2015 - Må sees!,"Balkong/Terrasse, Peis/Ildsted, Parkett, Heis, Ingen, gjenboere, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Søn. 7. mars 1300 - 1400 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Meld deg på visning med ""knappen"" i annonsen. Ta kontakt med megler for å avtale eventuell privatvisning. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding Vil du bo sentralt og attraktivt til på Oslo vest, med fantastiske sol- og utsiktsforhold?Hva med din egen, private takterrasse på hele 57 kvm?- Da er dette boligen for deg!Takterrassen byr på flere soner med bl.a. sittegruppe mot sør med fastbygget benk, mot vest er det plass til lounge og spisegruppe, i tillegg får du egen kjøkkensone. Her er det bare å flytte seg etter solen. VERDT Å MERKE SEG: En bolig av de sjeldneStandard fra 2015Vannbåren gulvvarmeLekker gasspeisModerne kjøkken og bad1- stavs parkettHeisadkomstFyring, varmtvann, TV og bredbånd inkl.IN-ordningSentral og attraktiv beliggenhetMarienlystparken som nærmeste naboRolig beliggenhet hvor du er vendt vekk fra de mest travle gatene i områdetVisningspåmelding gjøres i annonsen.Velkommen! Søn. 7. mars 1300 - 1400 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Meld deg på visning med ""knappen"" i annonsen. Ta kontakt med megler for å avtale eventuell privatvisning. Dette gjør vi for å unngå spredning av smitte ved at for mange er på visningen samtidig. Visninger hvor det ikke er påmeldte på forhånd vil ikke bli avholdt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209638744,209638744,NA,142711,195070,7637781,3735,Leilighet,Eier(Selveier),2,54,54,8,1935,G-mørkegrønn,NA,60,NA,1098336,NA,2578,16489,NA,NA,NA,NA,NA,NA,NA,FALSE
Bislett/St. Hanshaugen,"Sofies gate 6c, 0170 Oslo",4600000,"Klassisk og moderne 3-R hjørneleilighet - Store vinduer & god takhøyde - Attraktiv beliggenhet med nærhet til ""alt""!","Parkett, Kabel-TV, Moderne, Sentralt, Offentlig, vann/kloakk, Bredbåndstilknytning"," Søn. 7. mars 1300 - 1400 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Velkommen til Sofies gate 6C - en 3-roms hjørneleilighet beliggende i 3.etasje. Leiligheten har en optimal planløsning med soverommene på hver sin side, samt en delvis adskilt løsning på stue/kjøkken. Gården ble renovert og borettslaget stiftet i 2005 og leiligheten inneholder en gjennomgående god standard. Her får du en fin miks av klassiske detaljer som god takhøyde og store vinduer, samt moderne fargevalg og velholdte overflater.Beliggenheten er svært sentral midt mellom St. Hanshaugen og Bislett. Her vil du bo godt tilbaketrukket, i en rolig gate uten gjennomgangstrafikk og med gangavstand til det mest byen har å tilby.Moderne kjøkken med integrerte hvitevarerPent, flislagt bad fra 2005Søndagsåpen matbutikk i umiddelbar nærhetIngen dok. avg el. forkjøpsrettFlytt rett inn Søn. 7. mars 1300 - 1400 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209638605,209638605,NA,52810,8032,4660842,3439,Leilighet,Andel,2,48,48,3,1901,G-rød,NA,54,Ja,1120898,3,539,55980,NA,NA,NA,NA,NA,NA,NA,FALSE
St. Hanshaugen,"Casparis gate 9, 0174 Oslo",3900000,Lys og innbydende 2-roms toppleilighet med balkong - Frodig utsyn - Varmtvann og fyring inkl. - Ingen dok.avgift!,"Balkong/Terrasse, Ingen, gjenboere, Rolig, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Søn. 7. mars 1200 - 1300 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til visning i Casparis gate 9! En innbydende og lys 2-roms toppleilighet med sentral og tilbaketrukket beliggenhet på St. Hanshaugen. Leiligheten ligger i byggets toppetasje, uten naboer over. Hele leiligheten vender mot bakgård hvor man har frodig utsyn mot store, grønne trær. Leiligheten er sval gjennom hele året, da den ligger nordøstvendt. Balkongen med utgang fra stue har deilig morgen- og formiddagssol. Sosial planløsning som fordeler seg på følgende måte: Entré, stue med åpen kjøkkenløsning, stort soverom og bad. Videre disponerer leiligheten en kjeller bod.Balkong med plass til sittegruppeSosial åpen planløsningBad og kjøkken fra 2012Pene overflater og god standardStore vindusflaterVarmtvann, fyring, kabel-tv og fibernett inkludert i felleskostn.Veldrevet borettslag Søn. 7. mars 1200 - 1300 + Legg til i kalender Man. 8. mars 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209631294,209631294,NA,405040,8060,4313100,3594,Leilighet,Andel,1,42,42,5,1939,NA,NA,46,Ja,924091,2,208,23538,NA,NA,NA,NA,NA,NA,NA,FALSE
Sagene/Bjølsen,"Treschows gate 2 F, 0477 Oslo",8400000,Unik 4-r. i ærverdig murvilla - Ombygget i 2012 - Hage på ca. 55kvm - Tinglyst p-plass -Rolig beliggenhet ved Akerselva,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Hage, Husdyr, tillatt, Ingen, gjenboere, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Bademulighet, Turterreng, Lademulighet"," Søn. 7. mars 13:30 - 14:30 + Legg til i kalender Man. 8. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Leiligheten er en særegen og romslig 4-r., beliggende i den tidligere direktørboligen til Bjølsen Valsemølle. Villaen ble i 1865 reist av direktøren ved melfabrikken og var allerede da sjelden i sitt slag. Murvillaen ble i 2012 seksjonert til 6 leiligheter og det har blitt gjennomført en stor oppgradering av huset og tilhørende hage ferdigstilles våren 2021.- Hageparsell på ca. 55 kvm, med svært gode solforhold- Et meget romslig oppholdsrom med delvis åpen kjøkkenløsning- Sjarmerende detaljer som synlige takbjelker og teglsteinsvegg- God takhøyde på opptil 4,20 m. - Sprinkelanlegg- VV. og fyr. inkl. - P-plass og det tilrettelegges for el-bil i disse dager - Huset er meget godt vedlikeholdt og sameiet består av driftige beboere- Huset ligger skjermet til, i rolige omgivelser Søn. 7. mars 13:30 - 14:30 + Legg til i kalender Man. 8. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209592934,209592934,NA,193390,216177,8809567,2721,Leilighet,Eier(Selveier),3,102,102,3,1865,G-gul,Eiet,115,NA,1621299,4,NA,27588,NA,NA,2012,NA,NA,NA,NA,FALSE
ROLIG PÅ SAGENE PANORAMA,"Arendalsgata 20D, 0463 Oslo",3600000,"Nydelig, lys selveier fra 2004 med privat, solrik uteplass på 15 kvm - Lave felleskostnader - To felles takterrasser","Takterrasse, Balkong/Terrasse, Bredbåndstilknytning, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Bademulighet, Turterreng"," Søn. 7. mars 13:00 - 13:15 + Legg til i kalender Søn. 7. mars 13:15 - 13:30 + Legg til i kalender Søn. 7. mars 13:30 - 13:45 + Legg til i kalender Søn. 7. mars 13:45 - 14:00 + Legg til i kalender Man. 8. mars 16:30 - 16:45 + Legg til i kalender Man. 8. mars 16:45 - 17:00 + Legg til i kalender Man. 8. mars 17:00 - 17:15 + Legg til i kalender Påmeldingsvisning: Dersom du planlegger å delta på annonsert visning, klikk på ""visningspåmelding"" for å avtale tidspunkt. Dette for å sørge for en trygg gjennomføring. Visningspåmelding Vi har gleden av å presentere en lekker selveierleilighet med svært god planløsning. Boligen består av flislagt baderom med opplegg for vaskemaskin, moderne kjøkken, stor og trivelig stue med utgang til privat uteplass, sovealkove og en innbydende entré.Kort fortalt:* Populært og veldrevet sameie, 83 boliger* Bygården var ny i 2004* Ingen fellesgjeld* Lave felleskostnader* Nytt gulv i 2015* Fint kjøkken med moderne hvitevarer* Lys stue av god størrelse* Privat uteplass på hele 15 kvm med gode lys- og solforhold* Veldig ofte mulighet for garasjeleie* Heis * To felles takterrasser* Romslig kjellerbod* Kort vei til offentlig kommunikasjon, servicetilbud og rekreasjonsområder* Sameiet har egen hjemmeside, http://www.sagenepanorama.no/Her vil du trives og bo godt! Søn. 7. mars 13:00 - 13:15 + Legg til i kalender Søn. 7. mars 13:15 - 13:30 + Legg til i kalender Søn. 7. mars 13:30 - 13:45 + Legg til i kalender Søn. 7. mars 13:45 - 14:00 + Legg til i kalender Man. 8. mars 16:30 - 16:45 + Legg til i kalender Man. 8. mars 16:45 - 17:00 + Legg til i kalender Man. 8. mars 17:00 - 17:15 + Legg til i kalender Påmeldingsvisning: Dersom du planlegger å delta på annonsert visning, klikk på ""visningspåmelding"" for å avtale tidspunkt. Dette for å sørge for en trygg gjennomføring. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209438899,209438899,NA,NA,99642,3699642,1807,Leilighet,Eier(Selveier),1,35,35,1,2004,D-rød,NA,40,NA,819954,2,2213,6547,NA,NA,NA,NA,NA,NA,NA,FALSE
#NYDALEN / RETT VED HANDELSHØYSKOLEN BI,"Gunnar Schjelderups vei 11L, 0484 Oslo",7000000,"Unik & sjelden 3-r toppleilighet | Utsikt, 2 solrike balkonger & opsjon garasjeplass | Oppgradert 2020 | Ekstra takhøyde","Balkong/Terrasse, Parkett, Heis, Barnevennlig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Søn. 7. mars 1400 - 1415 + Legg til i kalender Søn. 7. mars 1415 - 1430 + Legg til i kalender Søn. 7. mars 1430 - 1445 + Legg til i kalender Søn. 7. mars 1445 - 1500 + Legg til i kalender Man. 8. mars 1700 - 1715 + Legg til i kalender Man. 8. mars 1715 - 1730 + Legg til i kalender Man. 8. mars 1730 - 1745 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding - Høyt og luftig i moderne 3-roms toppleilighet i Nydalen- Med 2 balkonger kan sol og utsikt nytes hele året, fra morgen til kveld- Balkongene er lune og beskyttet for vind, vær og innsyn grunnet høye halvtak, vegger og markise- Heis- Det er mulig å kjøpe garasjeplass av selger for kr. 400.000,-- Nyoppusset og innflytningsklar- Malt vegger lister, dører og tak, lagt ny 1-stavs parkett(2020)- Nye lameller(2020)- Malt begge verandaene og lagt nytt gulv på utearealene.(2020)- Sikringsskap med automatsikringer plassert i entré- Mye lagringsplass- Kjellerbod på ca. 4,5m² medfølger. Felles bod og felles sykkelparkering- Varmtvann inkl.- TV og bredbåndstilknytning fra Telia- Fortrinnsrett til barnehage i sameiet- Kort vei til T-bane, trikk og buss- Bunnpris og Storo Storsenter i umiddelbar nærhet Søn. 7. mars 1400 - 1415 + Legg til i kalender Søn. 7. mars 1415 - 1430 + Legg til i kalender Søn. 7. mars 1430 - 1445 + Legg til i kalender Søn. 7. mars 1445 - 1500 + Legg til i kalender Man. 8. mars 1700 - 1715 + Legg til i kalender Man. 8. mars 1715 - 1730 + Legg til i kalender Man. 8. mars 1730 - 1745 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209628692,209628692,NA,NA,184019,7184019,3545,Leilighet,Eier(Selveier),2,74,74,6,2006,D-rød,NA,80,NA,1474647,4,18871,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
#SOLSIDEN I NYDALEN,"Nydalen allé 5, 0484 Oslo",3600000,Perfekt førstegangskjøp/utleieobjekt | 2-r med 16m2 uteplass | Walk-in closet | Lave felleskostnader | Kort vei til BI,"Balkong/Terrasse, Parkett, Heis, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Bademulighet, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste, Bredbåndstilknytning, Lademulighet"," Søn. 7. mars 1200 - 1215 + Legg til i kalender Søn. 7. mars 1215 - 1230 + Legg til i kalender Søn. 7. mars 1230 - 1245 + Legg til i kalender Søn. 7. mars 1245 - 1300 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding - Svært attraktiv beliggenhet på unike Solsiden ved badeplassen i Nydalen- Perfekt førstegangskjøp og utleieobjekt- Arealeffektiv planløsning- Stor balkong på ca.16m² med plass til både sittegrupper og grill. Fungerer som en forlengelse av leiligheten store deler av året- Store vindusflater i leiligheten som gir mye naturlig lys- Stilrent baderom- Walk-in closet / kontor mye oppbevaringsplass- Mulig å leie garasjeplass i underliggende anlegg. Tidvis mulig å kjøpe fra naboer.- Heis- Det medfølger en stor bod på ca 5m²- Varmtvann, fyring, tv og internett inkl.- Vender i sin helhet mot bilfrie fellesarealer- Kun 1 min gangavstand til nærmeste buss- og t-banestopp, matvarebutikk, apotek, vinmonopol og restauranter.OBS: Husk å melde deg på visning Søn. 7. mars 1200 - 1215 + Legg til i kalender Søn. 7. mars 1215 - 1230 + Legg til i kalender Søn. 7. mars 1230 - 1245 + Legg til i kalender Søn. 7. mars 1245 - 1300 + Legg til i kalender Dersom du planlegger å delta på annonsert visning bes du som kunde om å gi beskjed i forkant til eiendomsmegler, trykk på påmeldingsknappen i annonsen. Vi tilbyr også privatvisninger for de som ønsker det. Velkommen til en trygg visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209628529,209628529,NA,NA,99019,3699019,2482,Leilighet,Eier(Selveier),1,41,41,1,2006,D-mørkegrønn,Eiet,NA,NA,863106,2,NA,8524,NA,NA,NA,NA,NA,NA,NA,FALSE
TOPPEN AV TORSHOVDALEN,"Hans Nielsen Hauges gate 39E, 0481 Oslo",6200000,"Rålekker 3-roms utsiktsleilighet - Solrik terrasse på 9,7 og 1,8 kvm - Garasje - ""Alt"" inkl. i fk. - Gulvvarme - Heis","Balkong/Terrasse, Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Turterreng, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Søn. 7. mars 1400 - 1500 Velkommen til første annonserte visning + Legg til i kalender Man. 8. mars 1700 - 1800 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding ""Den gode planløsningen, de store vindusflatene og utsikten utover parken var avgjørende for boligvalget."" - SelgerLekker utsiktsleilighet med nydelige sol -/og utsiktsforholdSydvendt terrasse på hele 9,7 kvmLuftebalkong fra soverom på 1,8 kvm.Vindusflater fra gulv til takFyring/Vv, kabel/internett, garasje m.m. inkl. i fk.Garasjeplass i lukket anleggGjennomgående, høy standard fra 2014 (byggeår)Gulvvarme i samtlige romBalansert ventilasjonHeisFjernstyrt utvendig solskjermingPlanløsning med store, gode rom og separerte soveromPraktisk og stor innvendig bod, samt kjellerbodSameiet fikk Statens Byggeskikkpris i 2015 Kort vei til T-bane og kommunal transportSentralt med ""alt"" like utenfor døren Søn. 7. mars 1400 - 1500 Velkommen til første annonserte visning + Legg til i kalender Man. 8. mars 1700 - 1800 + Legg til i kalender Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209625742,209625742,NA,NA,166542,6366542,3620,Leilighet,Eier(Selveier),2,65,69,3,2014,B-mørkegrønn,NA,76,Ja,1357338,NA,4392,13010,NA,NA,NA,NA,NA,NA,NA,FALSE
Nordstrand,"Midtåsen 35B, 1166 Oslo",15500000,Arkitekttegnet funkis med svært familievennlig beliggenhet. Frodig have med utsikt og sol - Dobbelgarasje og hybel.,"Balkong/Terrasse, Peis/Ildsted, Parkett, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Alarm, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning, Lademulighet"," Søn. 7. mars 1200 - 1300 + Legg til i kalender Tir. 9. mars 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Velkommen til Midtåsen 35B - En stor og innholdsrik arkitekttegnet funkisbolig med stilrent preg, påkostede detaljer og solrik beliggenhet. Boligen ble totalrehabilitert i 2013 og opprettholder en meget høy standard. Boligen er oppført på 2 plan og har en gjennomtenkt planløsning som bl.a. inneholder 3(4) soverom, 3 bad, vaskerom, kjøkken, stue med peis og utgang til terrasse/have, kjellerstue, hybel og 2 innvendig boder. Med boligen følger også dobbel garasje med bod. Her ligger man usjenert, trafikkskjermet og barnevennlig til med kort vei til Nordstrand skole, kollektivtransport og rikelig av servicetilbud.Kort fortalt:Populær og solrik beliggenhetArkitekttegnet funkisTotalrehabilitert i 2013Dobbel garasjeHybelTerrasse på 37kvmTre soverom m/mulighet for flereBarnevennligUsjenert Søn. 7. mars 1200 - 1300 + Legg til i kalender Tir. 9. mars 1700 - 1800 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209625443,209625443,NA,NA,403142,15903142,NA,Enebolig,Eier(Selveier),3,229,279,NA,1966,G-oransje,NA,309,NA,2789957,4,819,NA,NA,17544,NA,NA,NA,NA,NA,FALSE
Manglerud/Ryen,"Enebakkveien 178, 0680 Oslo",3600000,"Pen 3-roms med off. komm/service tilbud i umiddelbar nærhet - Svært solrik balkong på 7,4 m² - v.v og fyring inkl","Balkong/Terrasse, Ingen, gjenboere, Kabel-TV, Sentralt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding Enebakkveien 178 ligger sentralt på Ryen/Manglerud. Fra boligen er det kort vei til offentlig kommunikasjon som tar deg enkelt ned til sentrum på få minutter, gåavstand til Østensjøvannet med flotte turmuligheter og daglige servicetilbud.Praktisk og arealeffektiv 3-roms leilighet som består av: entré/gang, stue med utgang til en svært solrik balkong på 7,4 m², separat kjøkken med spiseplass, baderom tatt i borettslagets regi og to soverom.- V.V, fyring og kabel-TV inkludert i felleskostnadene- Rett til å benytte 2 av biloppstillingsplassene på borettslagets felles parkeringsplasser- Romslig kjeller- og loftsbod- Daglige servicetilbud i umiddelbar nærhet Sammen skal vi sikre trygge visninger. Derfor gjennomfører vi visninger etter gitte forholdsregler. Kontakt megler eller meld deg på visning i knappen Visningspåmelding før visning, så finner vi en løsning som passer for deg. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209623981,209623981,NA,117000,15526,3732526,4075,Leilighet,Andel,2,66,66,2,1960,C-gul,NA,74,Ja,903682,3,42714,9343,NA,NA,NA,NA,NA,NA,NA,FALSE
Frogner,"Niels Juels gate 34a, 0272 Oslo",10950000,"Niels Juels gate 34a - Meget tiltalende 3 roms aksjeleil i 3 etg m/ peis, parkering og solrik balkong med flott utsikt.","Balkong/Terrasse, Peis/Ildsted, Parkett, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Garasje/P-plass, Offentlig, vann/kloakk, Utsikt, Bredbåndstilknytning"," Søn. 7. mars 1530 - 1630 + Legg til i kalender Man. 8. mars 1600 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Niels Juels gate 34 A er en nyere renovert, lys og stilfull aksjeleilighet beliggende i en trafikkstille oase sentralt på Frogner.Kort fortalt:- Gjennomgående 3-roms aksjeleilighet i 3 etg. Lave omkostninger - ingen dok.avgift.- Betydelig oppgradert etter renovering i 2017 med gode materialevalg og lekre detaljer.- Velutstyrt kvalitetskjøkken fra 2017 med Miele hvitevarer og platetopp fra Bora.- Innbydende stue med elegant peisovn.- Sydvendt balkong med sol fra morgen til kveld og en fantastisk utsikt over byen og fjorden mot Nesodden- Hyggelig og opparbeidet tomt. Fredet område med lite trafikk.- Parkering.- Lagring i loftsbod og kjellerbod.Leiligheten inneholder: Entré, omkledningsrom, toalettrom, baderom m/vaskerom, kjøkken, stue/spisestue og 2 soverom Søn. 7. mars 1530 - 1630 + Legg til i kalender Man. 8. mars 1600 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209623429,209623429,NA,NA,12015,10962015,4579,Leilighet,Aksje,2,96,96,3,1936,F-oransje,NA,108,NA,1913408,NA,1469,30250,NA,NA,NA,NA,NA,NA,NA,FALSE
Majorstuen ved Vestkanttorget,"Fearnleys gate 4C, 0353 Oslo",4500000,"Flott og skjermet 2-roms leilighet mot idyllisk bakgård. Oppusset i 2015. ""Alt"" inkl. i felleskost og ingen dok.avgift.","Alarm, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste, Turterreng"," Tir. 9. mars 16:00 - 17:00 + Legg til i kalender Ons. 10. mars 16:30 - 17:30 + Legg til i kalender Vi ønsker trygge visninger og minst mulig smitterisiko. Meld deg på visning v.h.a lenken ""Visningspåmelding"" eller kontakt meg på tlf. eller e-post for å avtale tidspunkt. Er du i risikogruppe eller faller innenfor Helsedirektorates krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Gi beskjed om det er ønskelig med visning utenom oppsatt visningstid. Visningspåmelding Velkommen til Fearnleys gate 4C. Lys og flott 2-roms leilighet med tilbaketrukken og skjermet beliggenhet ved Vestkanttorget, på attraktive Majorstuen. Leiligheten ligger fint til i byggets høye 1.etasje, har en god planløsning og er vendt i sin helhet mot frodig og idyllisk bakgård. Lys og romslig stue med hyggelig utsyn. Åpen kjøkkenløsning med god plass til stort spisebord. Pent flislagt baderom og romslig soverom.-God planløsning i høy 1.etasje-Oppusset i 2015-Unik beliggenhet med svært lite trafikkstøy-Hyggelig utsyn til frodig grøntområde og uten gjenboere-Varmtvann, fjernvarme, Kabel TV og bredbånd inkl. i felleskostnadene-Lave kjøpsomkostninger - Ingen dokumentavgift-Sentral og rolig beliggenhet på Majorstuen med gode kollektivforbindelser, fasiliteter og servicetilbud Tir. 9. mars 16:00 - 17:00 + Legg til i kalender Ons. 10. mars 16:30 - 17:30 + Legg til i kalender Vi ønsker trygge visninger og minst mulig smitterisiko. Meld deg på visning v.h.a lenken ""Visningspåmelding"" eller kontakt meg på tlf. eller e-post for å avtale tidspunkt. Er du i risikogruppe eller faller innenfor Helsedirektorates krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Gi beskjed om det er ønskelig med visning utenom oppsatt visningstid. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=209337227,209337227,NA,101048,11290,4612338,3182,Leilighet,Aksje,1,49,50,1,1932,G-mørkegrønn,NA,55,NA,1126210,2,1530,125006,NA,NA,NA,NA,NA,NA,NA,FALSE
