location,address,price,title,facilities,description_text,ad_url,id,omkostninger,totalpris,felleskost_mnd,boligtype,eieform_bolig,soverom,primaerrom,bruksareal,byggear,energimerking,tomteareal,bruttoareal,boligselgerforsikring,fellesformue,formuesverdi,fellesgjeld,etasje,rom,festeavgift,kommunale_avg,num,grunnflate,renovert_ar,tomt,sikringsordning,utleiedel,new_building
Nedre Haugen,"Maria Dehlis vei 57, 1084 Oslo",2800000,Pen 3-roms med i 7 etg med heis og fantastisk utsikt. Garasjeplass medfølger. V.v inkl. Kort vei til marka!,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Heis, Husdyr, tillatt, Ingen, gjenboere, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng, Lademulighet"," Tir. 23. februar 17:30 - 18:30 + Legg til i kalender Visningspåmelding Velkommen til Maria Dehlis vei 57!Lys og innbydende 3-roms andelsleilighet beliggende i et populært boligområde på Haugenstua i Oslo. Boligen ligger i blokkens 7 etasje med heisadkomst og inneholder entré, 2 soverom, et romslig bad med opplegg og plass for vaskemaskin og tørketrommel, kjøkken og en koselig stue med utgang til en sydvestvendt terrasse på ca. 11 kvm. Leiligheten disponerer også én kjellerbod på ca. 5 kvm.Én garasjeplass i felles garasjeanlegg medfølger.Ca. 250 meter til Haugenstua Tog-stasjon og Ca. 600 meter til Smedstua busstasjon med hele 5 busslinjer. NB: Leiligheten er omgjort fra to til tre roms ved å dele av deler av kjøkkenet uten byggemelding til kommunen og uten at nødvendig godkjennelse fra både styret og kommunen er gitt. Tir. 23. februar 17:30 - 18:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207883151,207883151,8658,3046658,4492,Leilighet,Andel,2,64,64,1976,E-rød,28376,70,NA,37948,768571,238000,7,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Frogner,"Løvenskiolds gate 8, 0263 Oslo",11950000,"Sjarmerende, klassisk og gj.gående 4 roms selveierleil. i 4 etg. med balkong, heis og peis. Grønn og idyllisk bakgård.","Balkong/Terrasse, Peis/Ildsted, Parkett, Heis, Kabel-TV, Sentralt, Offentlig, vann/kloakk, Vaktmester-/vektertjeneste"," Man. 22. februar 1600 - 1730 + Legg til i kalender Tir. 23. februar 1600 - 1700 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Løvenskiolds gate 8 er en klassisk, lys og gjennomgående 4 roms selveierleilighet beliggende i 4 etasje med heis, klassiske detaljer som rosett og stukkatur, balkong, karnapp og peis. Leiligheten holder en god standard etter omfattende renovering i 2013. Arealeffektiv og praktisk planløsning.Populær beliggenhet i et av Oslos mest attraktive strøk på Frogner. Den har i tillegg en prisbelønnet bakgård som er lukket og meget barnevennlig.Leiligheten inneholder romslig entré/gang, 2 soverom, mellomgang, 2 baderom, vaskerom, spisestue, stue med peis, kjøkken med utg. balkong på ca 5 kvm.I tillegg følger boder i fellesarealer, kjellerbod ca 9 kvm, bod ved trappeoppgang kjøkkenside på ca. 1,5 kvm samt lagringsplass i trapperom med ca. 1,5 kvmTakhøyde målt i gang til ca. 3,15 meter. Man. 22. februar 1600 - 1730 + Legg til i kalender Tir. 23. februar 1600 - 1700 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208300710,208300710,310320,12260320,4326,Leilighet,Eier(Selveier),2,128,128,1907,G-rød,725,145,Ja,19238,2333108,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
FROGNER,"Thomas Heftyes gate 46B, 0267 Oslo",5450000,"Klassisk 3-roms Frognerleilighet med stukkatur, rosett, generøs takhøyde og store vinduer - God standard - *Parkering","Bredbåndstilknytning, Garasje/P-plass, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Peis/Ildsted, Rolig, Sentralt","360° visning Søn. 21. februar 12:00 - 12:20 + Legg til i kalender Søn. 21. februar 12:20 - 12:40 + Legg til i kalender Søn. 21. februar 11:30 - 11:45 + Legg til i kalender Søn. 21. februar 11:45 - 12:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Ta med og bruk munnbind. Det vil også være munnbind tilgjengelig på visningene. Husk også å lese salgsoppgave før visning. Visningspåmelding Thomas Heftyes gate 46B er en klassisk Frognerleilighet i en høy 1. etasje med en gjennomgående god standard og en smart planløsning som gjenspeiler seg i alle rom. Leiligheten har en romslig entré med downlights i himling og plassbygget skyvedørsgarderobe fra Elfa. Pent flislagt bad med gulvvarme og et lekkert kjøkken med en åpen løsning mot stuen. To gode soverom med plass til ønsket innredning hvor gjesterommet har en smart hems for optimal plassutnyttelse av rommet. Fin miks av klassiske detaljer som store vindusflater, en generøs takhøyde opptil 3.50 meter, stukkatur og rosetter. Helt nytt el-anlegg fra 2020. Det er adkomst fra Thomas Heftyes gate, hvor leiligheten er plassert i indre gård og vender mot en rolig bakgård. Det er p.t en ledig parkeringsplass i sameiet og ingen på liste Søn. 21. februar 12:00 - 12:20 + Legg til i kalender Søn. 21. februar 12:20 - 12:40 + Legg til i kalender Søn. 21. februar 11:30 - 11:45 + Legg til i kalender Søn. 21. februar 11:45 - 12:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Ta med og bruk munnbind. Det vil også være munnbind tilgjengelig på visningene. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=203688361,203688361,138762,5636358,3425,Leilighet,Eier(Selveier),2,62,62,1899,G-mørkegrønn,858,70,NA,NA,1345592,47596,1,3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Bogerud,"Martin Linges vei 41, 0692 Oslo",2850000,Lys 4-r med vestvendt innglasset balkong |Garasjeplass|2min til T-bane | Fyring og v.v inkl| Oppgraderingsbehov,"Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Garasje/P-plass, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Rolig, Sentralt","360° visning Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Man. 22. februar 17:00 - 18:00 + Legg til i kalender Visningspåmelding Martin Linges vei 41Leiligheten ligger i 3. etasje og nyter lyse rom i gjennomgående planløsning. Fra stuen er det utgang til innglasset balkong på 6 m² vendt mot vest. Det er behov for modernisering innvendig, så her kan du sette ditt preg på interiøret. Badene står også for tur i regi av det veldrevne borettslaget. Martin Linges vei er en stille, enveiskjørt sidevei til General Ruges vei og ligger nær Bogerud nærsenter og T-bane.Kort fortalt:- Ny og romslig innglasset balkong på 6 m²- Egen garasjeplass i rekke følger salget- Lys og romslig gjennomgående løsning- Tre gode og lune soverom- To medfølgende boder- Utskiftede vinduer- Fyring og varmtvann inkl- Rolig og lett tilgjengelig beliggenhet- 2 min gange til Bogerud T-bane og bussTa kontakt med megler for visning. Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Man. 22. februar 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208239816,208239816,8658,3557646,6617,Leilighet,Andel,3,72,78,1962,NA,10350,86,NA,25678,955598,698988,3,4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
GRÜNERLØKKA,"Christian Krohgs gate 43A, 0186 Oslo",2830000,Sentral og attraktiv beliggenhet - Felles takterrasser - Ingen dok. avg. - Ingen forkjøpsrett,"Takterrasse, Barnevennlig, Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste"," Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. februar 18:00 - 19:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding DNB Eiendom v /Simon Barood har gleden av å presentere Christian Kroghs Gate 43A! Innvendig gir boligen et innbydende inntrykk med store vindusflater, lyse delikate fargevalg og god takhøyde som gir en lys og luftig atmosfære. Leiligheten har også en etterspurt beliggenhet med gåavstand til det pulserende livet på Grünerløkka. Her bor du urbant og sentralt, samtidig stille og rolig til. I tillegg til en bolig med mye muligheter så bor du i et hyggelig nabolag! Kort fortalt:- Lys og luftig - Super sentralt- Ingen dokavgift- Ingen forkjøpsrett- God takhøyde (ca. 3,19m)- Fellesgjeld betales ned via f.kost- Soverom vendt mot rolig bakgård- Godt med oppbevaringsplass i leiligheten - Mulighet for leie av p-plass i garasjeanlegg- Tilgang på 2 felles takterrasser med helt nydelig utsik Simon Barood Eiendomsmeglerfullmektig Mobil 467 97 302 Send melding Aleksandar Damcevski Eiendomsmegler / Fagansvarlig Mobil 968 23 562 Fax 22 80 54 95 Send melding Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. februar 18:00 - 19:00 + Legg til i kalender I DNB Eiendom ønsker vi trygge visninger og minst mulig smitterisiko. For å hindre spredning av koronaviruset holdes visningene kun åpne for dem som har forhåndsavtale. Kontakt meg på tlf. eller e-post for å avtale tidspunkt som passer for deg innenfor annonserte tidsperiode. Er du i risikogruppe eller faller innenfor Helsedirektoratets krav om karantene, gi meg beskjed før vi avtaler visningstidspunkt. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208252965,208252965,1132,4207867,13111,Leilighet,Andel,1,55,55,1922,G-rød,544,64,NA,15336,979025,1376735,1,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
BESTE GRÜNERLØKKA,"Grüners gate 13, 0552 Oslo",5490000,"Strøken 2-roms i 5.etg med solrik balkong, heis og walk-in. Nyoppusset i 2019. Fantastisk beliggenhet midt på Løkka.","Balkong/Terrasse, Barnevennlig, Bredbåndstilknytning, Heis, Husdyr, tillatt, Ingen, gjenboere, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Turterreng"," Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding Leiligheten ligger midt på Grünerløkka, men likevel stille og fredelig til, mellom Olaf Ryes plass og Sofienbergparken. Her har du nærhet til alt av offentlig kommunikasjon og et rikt utvalg av servicetilbud.Stor 2-roms ""toppleilighet"" med høy standard på innvendige overflater, fastmontert inventar og tekniske løsninger. Leiligheten ble omfattende oppusset i 2019 med blant annet nymalte overflater, enstavs eikeparkett, gulvvarme, HTH-kjøkken, HTH-garderobe og Elko pluss. Bad overflateoppusset i 2019 med nye fliser, armatur og innredning. Tilstandsgrad 1 (TG1) på de fleste punkter i tilstandsrapporten. Leiligheten inneholder entré/gang, walk-in, delikat flislagt baderom, soverom og kjøkken i delvis åpen løsning med stue. Heisadkomst og solrik balkong. I tillegg er det kjellerbod på 5 m². Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. mars 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208195407,208195407,138592,5628592,2923,Leilighet,Eier(Selveier),1,56,56,1994,D-rød,660,62,NA,44354,956252,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
TOPPETASJE PÅ ST.HANSHAUGEN,"Bjerregaards gate 19, 0172 Oslo",3650000,Innbydende & arealeffektiv toppetg. endeleilighet|Heis|Innglasset balkong på ca. 5m² med utsikt|Perfekt førstegangskjøp!,"Balkong/Terrasse, Barnevennlig, Fellesvaskeri, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Utsikt, Vaktmester-/vektertjeneste, Turterreng","Søn. 21. februar 14:00 - 14:15 + Legg til i kalender Søn. 21. februar 14:15 - 14:30 + Legg til i kalender Søn. 21. februar 14:30 - 14:45 + Legg til i kalender Søn. 21. februar 14:45 - 15:00 + Legg til i kalender Man. 22. februar 17:00 - 17:30 + Legg til i kalender Man. 22. februar 17:30 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding Nordvik ved Sandra Kjellsen har gleden av å presentere denne fantastiske toppetasje hjørneleiligheten med en supersentral beliggenhet på St.Hanshaugen - Sjelden anledning! - Attraktiv beliggenhet med kort vei til servicetilbud, flotte rekreasjonsområder og et bredt tilbud på offentlig kommunikasjon - Leiligheten fremstår lys og behagelig, malt i moderne fargetoner i senere år- Dagens åpne romløsning byr på mange spennende muligheter - Innglasset balkong på ca. 5m² med nydelig utsikt- Felles sykkelrom og fellesvaskeri- Heis- V.vann og fyring inkl- Ingen dok.avgift og lave omk- 2 boderNYTT BAD 2021; Soilrørrehabilitering og oppgradering av bad i gården m planlagt oppstart i februar 2021, kjøper kan være med å velge innredning og fliser!HUSK Å MELDE DEG PÅ VISNING! Søn. 21. februar 14:00 - 14:15 + Legg til i kalender Søn. 21. februar 14:15 - 14:30 + Legg til i kalender Søn. 21. februar 14:30 - 14:45 + Legg til i kalender Søn. 21. februar 14:45 - 15:00 + Legg til i kalender Man. 22. februar 17:00 - 17:30 + Legg til i kalender Man. 22. februar 17:30 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208150662,208150662,15526,3725526,3571,Leilighet,Andel,0,32,39,1960,G-rød,795,44,NA,1684,789893,60000,5,1,100,NA,NA,NA,NA,NA,NA,NA,FALSE
SAGENE,"Grimstadgata 28, 0464 Oslo",4150000,"Lys og arealeffektiv 2-roms selveier - Peis - Stor sørøstvendt balkong på 7,4 kvm - Lave felleskostnader","Balkong/Terrasse, Peis/Ildsted, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Bredbåndstilknytning"," Tor. 18. februar 1700 - 1800 + Legg til i kalender Søn. 21. februar 1300 - 1400 + Legg til i kalender Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres enkelt ved å klikke på link i denne annonsen, eller ved direkte kontakt med megler. Velkommen på visning! Dersom oppsatte tidspunkt ikke passer, ta kontakt med megler for å avtale tid for privatvisning. Visningspåmelding Leiligheten har god planløsning i alle rom, noe som gjør det lett å benytte seg av hver enkelt kvadratmeter. Entréen er lagt med sjakkfliser, mens stuen har trestavs merbauparkett. Stuen forlenges av at man har direkte utgang til en stor balkong på 7,4 kvm der solen kan nytes på morgen og dagtid. I stuen er det også en flott åpen peis som skaper god og lun stemning. Kjøkkenet ligger i en delvis åpen løsning, der du kan etablere et ekstra soverom. Badet har god størrelse med opplegg for vaskemaskin. Videre har boligen rikelig med lagringsplass i to boder, egen kjølebod på loft samt felles sykkelbod.Leiligheten har en meget sentral beliggenhet på Sagene. Det meste av servicetilbud rett utenfor døren. 2 min til bussholderplass. Tor. 18. februar 1700 - 1800 + Legg til i kalender Søn. 21. februar 1300 - 1400 + Legg til i kalender Vi ønsker trygge visninger under koronautbruddet og ber deg derfor om å melde deg på visning. Dette gjøres enkelt ved å klikke på link i denne annonsen, eller ved direkte kontakt med megler. Velkommen på visning! Dersom oppsatte tidspunkt ikke passer, ta kontakt med megler for å avtale tid for privatvisning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208277646,208277646,115542,4275753,2354,Leilighet,Eier(Selveier),1,52,52,1981,E-rød,746,58,Ja,18721,1146177,10211,2,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Grünerløkka,"Københavngata 1A, 0553 Oslo",3990000,Klassisk 2-roms med attraktiv beliggenhet v/Sofienbergparken - Rosett & stukkatur - Peis - Soverom mot bakgård,"Bredbåndstilknytning, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Peis/Ildsted, Rolig, Sentralt, Turterreng"," Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. februar 17:00 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding Velkommen til Københavngata 1A - En klassisk 2-roms selveierleilighet beliggende i byggets 2.etg. Leiligheten har en attraktiv og sentral beliggenhet på Grünerløkka og inneholder bl.a entré, stue med peisovn, separat kjøkken, romslig soverom og bad. Leiligheten har ellers en meget god planløsning som gir luftige rom. Kort fortalt:Fantastisk beliggenhet på oversiden av SofienbergparkenKlassiske detaljer som god takhøyde, rosett og stukkaturPraktisk og gjennomgående planløsningFlott peisovn med åpent flammebildeTakhøyde på ca. 2,97m i stueKjellerbod på ca. 6,5 kvmLoftsbod på ca. 9 kvmBeboerparkering i områdetFlotte tur- og rekreasjonsområder i omegnParker, butikker og offentlig kommunikasjon m.m i umiddelbar nærhet Søn. 21. februar 13:00 - 14:00 + Legg til i kalender Tir. 23. februar 17:00 - 18:00 + Legg til i kalender Sammen skal vi sikre trygge visninger. Kontakt megler i forkant av visning på e post, telefon/SMS eller knappen under, ""visningspåmelding"" for å avtale ditt oppmøtetidspunkt. Husk også å lese salgsoppgave før visning. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208253163,208253163,8626,4194816,5441,Leilighet,Andel,1,56,56,1892,F-oransje,470,NA,NA,38007,1094041,196190,2,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Nedre Grünerløkka,"Christian Krohgs gate 30, 0186 Oslo",3890000,Strøken og unik toppleilighet i særegent fabrikkbygg. Nytt kjøkken i 2018. V.vann/fyring inkl. Stor takterrasse!,"Parkett, Heis, Ingen, gjenboere, Barnevennlig, Rolig, Kabel-TV, Moderne, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Bredbåndstilknytning"," Ons. 24. februar 1530 - 1630 + Legg til i kalender Tor. 25. februar 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding Her bor du sentrumsnært i en urban og rehabilitert fabrikkgård fra århundreskiftet. I 2006 ble hele gården gjort om fra fabrikk til leiligheter og gården har fortsatt mange flotte detaljer fra fabrikktiden. Leiligheten har nylig fått flere oppgraderinger med blant annet nytt kjøkken i 2018, ny fiskebeinsparkett, malte overflater, ny innredning på bad m.m. ref. punkt om vedlikehold i salgsoppgaven. Borettslaget har også en av Oslos største felles takterrasser, kun 1 etasje opp, som om ikke lenge skal total oppusses i regi av Snøhetta.- Fyring, varmtvann, internett og TV inkl. i fellesutgifter.- Heis.- Kjellerbod.- Sykkelbod.- Samtlige innredninger i leiligheten har fått tilstandsgrad 1.- Balansert ventilasjon.- Kollektivtrafikk i umiddelbar nærhet.- ""Alt"" i umiddelbar nærhet. Ons. 24. februar 1530 - 1630 + Legg til i kalender Tor. 25. februar 1630 - 1730 + Legg til i kalender Alle våre visninger har påmelding. Det er enkelt å melde seg på, med eventuelt følge, og du kan like enkelt melde deg av. For å skape trygghet, gjør vi omfattende tilrettelegging for å minimere smittefare på alle våre visninger. Vi ønsker deg hjertelig velkommen til visning, men vi minner om at vi ikke håndhilser og vi holder minimum 1 meter avstand. Kontakt gjerne megler i forkant av visningen dersom du har spørsmål. Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208272982,208272982,8060,3902668,2488,Leilighet,Andel,NA,43,43,2006,G-mørkegrønn,1357,49,Ja,5018,914864,4608,7,1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Sentralt på Manglerud,"Rugveien 40, 0679 Oslo",3400000,"Oppussingsobjekt! Stor 2-roms med utsikt. Bad/wc fra 2010. Varmtv. inkl. Nær kjøpesenter, T-bane og Østensjøvannet","Balkong/Terrasse, Heis, Ingen, gjenboere, Rolig, Kabel-TV, Sentralt, Turterreng, Offentlig, vann/kloakk, Utsikt, Vaktmester-/vektertjeneste, Fellesvaskeri, Bredbåndstilknytning"," Søn. 21. februar 1500 - 1600 Husk visningspåmelding. Kontakt megler dersom visningstidspunkt ikke passer/fullt. + Legg til i kalender Tir. 23. februar 1700 - 1800 Husk visningspåmelding. Kontakt megler dersom visningstidspunkt ikke passer/fullt. + Legg til i kalender For å hindre spredning av coronavirus, vil de oppsatte visninger gjennomføres individuelt, ta kontakt med megler for å avtale tidspunkt for oppmøte slik at du slipper å stå og vente når andre er inne. Dersom oppsatt tidspunkt ikke passer, ta kontakt for å finne et alternativt tidspunkt. Vi henviser til bilde nr. 3 for nærmere informasjon. Velkommen til visning! Visningspåmelding Leilighet med en helt fantastisk utsikt, gode solforhold og god beliggenhet!Stor 2-roms i 8 etg. med heisadkomst til både leilighet. Den har en entré/gang med innvendog bod og soverom med plass til garderobeskap og dobbeltseng. Bad/wc fra 2010 med varmekabler og opplegg til vaskemaskin. Separat kjøkken med vindu. Stor stue med flere møbleringsmuligheter og utgang til en balkong på 5 kvm.Leiligheten har behov for oppussing/renovering av alle rom, bortsett fra bad.Denne leiligheten er ypperlig for de som ønsker å bo sentralt med umiddelbar nærhet til T-bane, buss, kjøpesenter, samtidig rolig og med enkel tilgang til grønne parker og turområder.Verdt å vite:Varmtvann inkl. Akonto fyringKjellerbod og loftsbod.Sykkelbod og fellesvaskeri i blokken.Rask avklaring av forkjøp.Ingen dokumentavgift. June Berg Peersen Eiendomsmegler Telefon 22 98 14 24 Mobil 913 70 202 Hjemmeside Send melding Søn. 21. februar 1500 - 1600 Husk visningspåmelding. Kontakt megler dersom visningstidspunkt ikke passer/fullt. + Legg til i kalender Tir. 23. februar 1700 - 1800 Husk visningspåmelding. Kontakt megler dersom visningstidspunkt ikke passer/fullt. + Legg til i kalender For å hindre spredning av coronavirus, vil de oppsatte visninger gjennomføres individuelt, ta kontakt med megler for å avtale tidspunkt for oppmøte slik at du slipper å stå og vente når andre er inne. Dersom oppsatt tidspunkt ikke passer, ta kontakt for å finne et alternativt tidspunkt. Vi henviser til bilde nr. 3 for nærmere informasjon. Velkommen til visning! Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=208271787,208271787,15554,3586554,3615,Leilighet,Andel,1,54,56,1961,E-gul,11464,61,NA,42817,829202,171000,8,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
KORSVOLL/FRYSJA,"Frysjaveien 10A, 0883 Oslo",3485000,"Stilren 2-roms topp og ende-leilighet med fantastisk utsikt! Lave fk. og fellesgjeld. Kort vei til BI, Nydalen og marka!","Bredbåndstilknytning, Kabel-TV, Offentlig, vann/kloakk, Rolig, Vaktmester-/vektertjeneste, Turterreng","Video Ons. 24. februar 17:00 - 18:00 + Legg til i kalender Visningspåmelding Iver Holter Bålerud V/ DNB Ei har gleden av å presentere en innbydende og flott 2-roms beliggende i et populært, veletablert og rolig boligområde nærme marka. Leiligheten har en meget attraktiv intern beliggenhet på enden/topp med spektakulær panoramautsikt over Grefsen. Tidsriktige fargetoner på vegger og gulv gjør det enkelt å innrede boligen etter dagens trender. Planløsningen er effektiv og romfølelsen er god - denne er verdt en titt!VERDT Å MERKE SEG:- Topp og ende-leilighet- Fantastisk utsikt!- Peis- Ingen forkjøpsrett- Lave omkostninger, ingen dok. avgift- Lav fellesgjeld- Lave fellesutgifter- Arealeffektiv planløsning- Store vindusflater- Mulighet for enten garasje eller utendørs P-plass- Gangavstand til handelshøyskolen BI Iver Holter Bålerud Eiendomsmegler Mobil 938 06 588 Send melding Per Oliver Bruksås Eiendomsmegler Mobil 911 18 798 Send melding Ons. 24. februar 17:00 - 18:00 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=205841082,205841082,1132,3498132,2224,Leilighet,Andel,1,40,40,1959,G-oransje,15571,45,NA,NA,857880,12000,3,2,8500,NA,NA,NA,NA,NA,NA,NA,FALSE
"Hollenderkvartalet, nær Bjørvika","Hollendergata 2B, 0191 Oslo",5690000,"Meget gjennomført, tiltalende og moderne 2/3-r. Nybygg-garanti. Balkong mot bakgård, samt felles takterrasse. Bil-pool.","Takterrasse, Balkong/Terrasse, Bredbåndstilknytning, Heis, Husdyr, tillatt, Kabel-TV, Offentlig, vann/kloakk, Parkett, Rolig, Sentralt, Vaktmester-/vektertjeneste"," Søn. 21. februar 12:30 - 13:30 + Legg til i kalender Visningspåmelding Nordvik Bolig har gleden av å presentere en attraktiv og moderne 2-roms leilighet i Hollendergata 2B. Leiligheten ligger urbant til i Gamle Oslo med enkel adkomst til det meste av bymessige fasiliteter. Her er det gangavstand til både treningssenter, matvarebutikk, restaurant, apotek, kollektivtrafikk m.m. Leiligheten gir også et godt utgangspunkt for å benytte flotte nærliggende rekreasjonsområder.- Attraktiv 2-roms i 5 etg. med heis- Bygg fra 2018 med 5 års nybygg-garanti- Nord-østvendt balkong på ca. 4 m², samt felles takterrasse- God planløsning med store vinduer og god takhøyde- Mulighet for 3-roms- Malte flater og pen en-stavs parkett på gulv- Bil-pool- BREEAM sertifisert bygg- ""Alt"" inkl i f-kost- Kort vei til det meste av bymessige fasiliteterVelkommen til visning! Søn. 21. februar 12:30 - 13:30 + Legg til i kalender Visningspåmelding",https://www.finn.no/realestate/homes/ad.html?finnkode=207305065,207305065,143592,5833592,3362,Leilighet,Eier(Selveier),1,58,61,2018,B-mørkegrønn,1837,67,NA,460,1011402,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
